Level	Amazon	Sorceress	Necromancer	Paladin	Barbarian	Druid	Assassin	ExpRatio
MaxLvl	99	99	99	99	99	99	99	10
0	0	0	0	0	0	0	0	1024
1	500	500	500	500	500	500	500	10240
2	1500	1500	1500	1500	1500	1500	1500	10240
3	3750	3750	3750	3750	3750	3750	3750	10240
4	7875	7875	7875	7875	7875	7875	7875	10240
5	14175	14175	14175	14175	14175	14175	14175	10240
6	22680	22680	22680	22680	22680	22680	22680	10240
7	32886	32886	32886	32886	32886	32886	32886	10240
8	44396	44396	44396	44396	44396	44396	44396	10240
9	57715	57715	57715	57715	57715	57715	57715	10240
10	72144	72144	72144	72144	72144	72144	72144	10240
11	90180	90180	90180	90180	90180	90180	90180	10240
12	112725	112725	112725	112725	112725	112725	112725	10240
13	140906	140906	140906	140906	140906	140906	140906	10240
14	176132	176132	176132	176132	176132	176132	176132	10240
15	220165	220165	220165	220165	220165	220165	220165	10240
16	275207	275207	275207	275207	275207	275207	275207	10240
17	344008	344008	344008	344008	344008	344008	344008	10240
18	430010	430010	430010	430010	430010	430010	430010	10240
19	537513	537513	537513	537513	537513	537513	537513	10240
20	671891	671891	671891	671891	671891	671891	671891	10240
21	839864	839864	839864	839864	839864	839864	839864	10240
22	1049830	1049830	1049830	1049830	1049830	1049830	1049830	10240
23	1312287	1312287	1312287	1312287	1312287	1312287	1312287	10240
24	1640359	1640359	1640359	1640359	1640359	1640359	1640359	10240
25	2050449	2050449	2050449	2050449	2050449	2050449	2050449	10240
26	2563061	2563061	2563061	2563061	2563061	2563061	2563061	10240
27	3203826	3203826	3203826	3203826	3203826	3203826	3203826	10240
28	3902260	3902260	3902260	3902260	3902260	3902260	3902260	10240
29	4663553	4663553	4663553	4663553	4663553	4663553	4663553	10240
30	5493363	5493363	5493363	5493363	5493363	5493363	5493363	10240
31	6397855	6397855	6397855	6397855	6397855	6397855	6397855	10240
32	7383752	7383752	7383752	7383752	7383752	7383752	7383752	10240
33	8458379	8458379	8458379	8458379	8458379	8458379	8458379	10240
34	9629723	9629723	9629723	9629723	9629723	9629723	9629723	10240
35	10906488	10906488	10906488	10906488	10906488	10906488	10906488	10240
36	12298162	12298162	12298162	12298162	12298162	12298162	12298162	10240
